.,.,83.87,.,.,.,2
199,208,.,.,.,.,3
191,179,81.27,.,1,0,6
199,170,24.68,.,1,0,7
168,160,52.2,.,1,0,13
.,.,70.43,.,.,.,15
.,.,86.27,.,.,.,25
179,167,.,.,.,.,26
171,164,.,.,1,0,26
181,157,.,.,1,0,26
133,133,.,.,.,.,26
154,131,.,.,.,.,26
.,.,83.36,.,.,.,27
138,138,.,.,.,.,32
206,217,46.12,.,.,.,33
.,.,42.36,.,.,.,35
.,.,25.31,.,.,.,42
.,.,42.1,.,.,.,49
214,201,.,1,.,.,3
233,233,.,0,.,.,3
221,245,.,1,.,.,3
216,212,.,0,.,.,3
214,223,.,0,.,.,3
220,210,.,1,.,.,3
215,222,.,0,.,.,3
221,233,.,1,.,.,3
244,251,.,1,.,.,3
231,222,.,1,.,.,3
.,.,.,1,.,.,3
.,.,.,0,.,.,3
259,240,.,1,.,.,3
255,238,.,0,.,.,3
213,199,.,1,.,.,3
216,222,.,1,.,.,3
226,227,.,0,.,.,3
241,241,.,0,.,.,3
243,244,.,1,.,.,3
215,221,.,0,.,.,3
.,.,.,1,.,.,3
223,218,.,0,.,.,3
231,228,.,0,.,.,3
.,.,.,0,.,.,3
209,215,.,1,.,.,3
255,243,.,0,.,.,3
262,257,.,0,.,.,3
217,217,.,1,.,.,3
201,235,.,1,.,.,3
238,230,.,0,.,.,3
201,200,.,1,.,.,3
222,214,.,1,.,.,3
191,194,.,0,.,.,3
229,221,.,0,.,.,3
213,223,.,0,.,.,3
240,228,.,0,.,.,3
199,212,.,1,.,.,3
228,214,.,1,.,.,3
204,213,.,1,.,.,3
248,259,.,0,.,.,3
230,239,.,0,.,.,3
224,243,.,0,.,.,3
259,274,.,0,.,.,3
233,236,.,1,.,.,3
.,.,.,1,.,.,3
232,236,.,0,.,.,3
227,239,.,1,.,.,3
213,232,.,0,.,.,3
237,227,.,1,.,.,3
246,245,.,1,.,.,3
217,231,.,0,.,.,3
233,236,.,0,.,.,3
221,225,.,0,.,.,3
170,185,.,1,.,.,3
252,252,.,0,.,.,3
233,238,.,0,.,.,3
.,.,.,1,.,.,3
229,236,.,1,.,.,3
187,213,.,0,.,.,3
240,246,.,0,.,.,3
216,218,.,0,.,.,3
245,237,.,0,.,.,3
253,260,.,0,.,.,3
187,166,.,1,.,.,3
233,235,.,0,.,.,3
237,228,.,0,.,.,3
230,244,.,0,.,.,3
256,248,.,1,.,.,3
.,.,.,0,.,.,3
214,213,.,0,.,.,3
223,213,.,0,.,.,3
200,234,.,0,.,.,3
.,.,.,0,.,.,3
237,229,.,0,.,.,3
212,215,.,0,.,.,3
205,209,.,1,.,.,3
222,230,.,1,.,.,3
224,233,.,0,.,.,3
207,217,.,1,.,.,3
255,276,.,0,.,.,3
229,229,.,0,.,.,3
277,282,.,0,.,.,3
203,211,.,0,.,.,3
272,248,.,1,.,.,3
216,209,.,0,.,.,3
227,234,.,0,.,.,3
217,211,.,0,.,.,3
253,252,.,0,.,.,3
225,233,.,1,.,.,3
212,194,.,1,.,.,3
246,247,.,1,.,.,3
217,224,.,1,.,.,3
217,233,.,0,.,.,3
218,224,.,1,.,.,3
280,277,.,0,.,.,3
249,252,.,1,.,.,3
229,224,47.61,0,.,.,4
260,265,47.61,0,.,.,4
254,234,47.61,0,.,.,4
249,256,47.61,0,.,.,4
237,259,47.61,1,.,.,4
237,231,47.61,1,.,.,4
242,245,47.61,0,.,.,4
238,251,47.61,1,.,.,4
234,249,47.61,0,.,.,4
176,173,47.61,0,.,.,4
225,228,47.61,0,.,.,4
257,235,47.61,0,.,.,4
228,229,47.61,0,.,.,4
222,206,47.61,0,.,.,4
248,222,47.61,0,.,.,4
254,254,47.61,1,.,.,4
218,216,47.61,1,.,.,4
240,227,47.61,1,.,.,4
222,234,47.61,1,.,.,4
235,238,47.61,0,.,.,4
241,237,47.61,0,.,.,4
258,254,47.61,0,.,.,4
232,226,47.61,1,.,.,4
250,224,47.61,0,.,.,4
249,235,47.61,1,.,.,4
257,237,47.61,0,.,.,4
226,209,47.61,1,.,.,4
244,241,47.61,0,.,.,4
235,248,47.61,1,.,.,4
254,248,47.61,0,.,.,4
234,218,47.61,1,.,.,4
249,252,47.61,1,.,.,4
224,224,47.61,0,.,.,4
225,197,47.61,1,.,.,4
253,277,47.61,0,.,.,4
246,226,47.61,1,.,.,4
240,229,47.61,1,.,.,4
243,239,47.61,0,.,.,4
240,241,47.61,0,.,.,4
231,231,47.61,1,.,.,4
230,234,47.61,0,.,.,4
253,242,47.61,1,.,.,4
263,247,47.61,0,.,.,4
225,226,47.61,0,.,.,4
214,217,47.61,0,.,.,4
247,260,47.61,1,.,.,4
220,219,47.61,0,.,.,4
258,236,47.61,0,.,.,4
242,231,47.61,1,.,.,4
217,218,47.61,1,.,.,4
243,233,47.61,0,.,.,4
255,260,47.61,0,.,.,4
238,247,47.61,0,.,.,4
243,246,47.61,1,.,.,4
244,235,47.61,0,.,.,4
220,228,47.61,1,.,.,4
251,250,47.61,0,.,.,4
246,245,47.61,1,.,.,4
236,222,47.61,0,.,.,4
243,234,47.61,0,.,.,4
236,232,47.61,1,.,.,4
253,235,47.61,0,.,.,4
214,234,47.61,0,.,.,4
248,258,47.61,0,.,.,4
223,232,47.61,0,.,.,4
236,246,47.61,0,.,.,4
239,223,47.61,0,.,.,4
254,246,47.61,0,.,.,4
215,218,47.61,1,.,.,4
240,224,47.61,0,.,.,4
267,252,47.61,1,.,.,4
209,205,47.61,1,.,.,4
215,210,47.61,1,.,.,4
