43 2 C
44 0 L
43 2 C
45 1 M
78 0 L
83 0 L
55 0 L
75 1 M
31 2 C
54 1 M
29 0 L
23 0 L
61 0 L
63 1 M
33 2 C
36 0 L
39 1 M
55 1 M
55 0 L
34 1 M
36 0 L
44 1 M
80 0 L
32 0 L
37 2 C
49 2 C
45 0 L
36 0 L
23 0 L
29 0 L
30 1 M
40 0 L
26 2 C
66 2 C
53 2 C
20 1 M
63 2 C
41 2 C
33 2 C
34 1 M
61 1 M
29 1 M
45 2 C
31 2 C
28 1 M
34 0 L
45 1 M
35 2 C
48 1 M
39 0 L
20 2 C
27 2 C
36 0 L
78 2 C
42 2 C
31 1 M
44 2 C
39 2 C
19 1 M
37 0 L
48 0 L
39 1 M
45 2 C
46 0 L
23 0 L
37 0 L
27 2 C
23 0 L
31 2 C
30 1 M
77 2 C
41 2 C
70 1 M
81 2 C
41 1 M
41 0 L
69 0 L
41 1 M
32 2 C
29 1 M
51 1 M
35 0 L
36 0 L
41 1 M
62 2 C
44 2 C
64 1 M
49 2 C
62 2 C
62 1 M
49 1 M
49 2 C
45 0 L
75 1 M
75 1 M
18 0 L
31 2 C
27 0 L
45 1 M
27 0 L
28 0 L
52 2 C
69 2 C
43 1 M
28 2 C
52 1 M
37 2 C
36 1 M
24 1 M
51 0 L
57 0 L
72 0 L
45 0 L
32 2 C
63 2 C
50 0 L
71 1 M
59 0 L
30 1 M
37 1 M
54 2 C
43 2 C
46 0 L
62 2 C
60 2 C
60 1 M
46 1 M
30 1 M
27 2 C
45 1 M
51 2 C
38 2 C
44 0 L
40 1 M
51 2 C
40 2 C
34 0 L
54 1 M
59 2 C
36 0 L
35 2 C
30 2 C
34 2 C
32 0 L
73 2 C
66 2 C
33 1 M
38 2 C
49 0 L
56 0 L
55 2 C
61 2 C
34 1 M
43 0 L
48 0 L
43 1 M
65 1 M
35 1 M
82 0 L
62 0 L
59 0 L
38 1 M
43 1 M
31 2 C
30 1 M
40 0 L
27 2 C
52 2 C
32 1 M
70 2 C
55 2 C
53 2 C
35 2 C
46 2 C
79 0 L
72 1 M
81 2 C
76 0 L
30 0 L
45 1 M
34 0 L
71 1 M
43 0 L
37 2 C
80 1 M
75 2 C
67 2 C
42 2 C
76 2 C
67 2 C
55 0 L
66 0 L
69 0 L
57 2 C
57 0 L
85 0 L
74 0 L
36 0 L
32 2 C
30 2 C
59 0 L
39 2 C
49 1 M
51 0 L
73 0 L
47 1 M
53 2 C
41 2 C
38 1 M
54 2 C
58 2 C
33 1 M
71 1 M
59 1 M
33 0 L
50 1 M
51 0 L
60 0 L
69 1 M
41 0 L
57 1 M
77 2 C
50 1 M
41 2 C
50 1 M
53 2 C
34 1 M
47 1 M
45 0 L
