189,1,0,34
287,1,0,34
242,1,1,20
199,1,0,48
286,1,1,46
285,1,1,51
270,1,0,51
285,1,1,40
276,1,0,34
306,1,0,38
334,1,1,38
285,1,1,40
265,1,1,35
206,0,0,33
305,1,0,40
110,1,0,33
298,0,0,35
287,1,1,33
103,1,0,32
291,1,0,29
180,1,0,24
298,1,0,47
190,0,0,33
224,1,1,38
301,1,1,36
252,1,0,30
186,1,1,34
40,1,0,45
66,1,0,37
82,0,0,31
213,1,1,47
271,1,0,44
214,1,0,39
236,1,0,52
222,1,0,46
320,1,1,35
62,1,0,32
335,1,1,40
276,1,1,65
195,1,0,32
181,1,0,31
187,1,1,37
180,1,1,35
286,1,0,46
291,1,0,40
256,1,0,29
175,1,0,37
328,1,1,34
202,1,1,34
119,1,1,31
293,1,0,31
284,1,1,43
277,1,0,29
54,1,0,39
290,1,0,46
168,1,1,63
61,0,0,47
334,1,0,30
265,1,1,30
252,1,1,31
287,1,1,41
143,1,0,26
129,0,0,52
271,1,0,32
112,1,0,45
272,1,0,44
333,1,0,38
221,1,1,33
110,1,1,34
237,1,1,31
230,1,1,25
14,0,0,35
273,1,1,29
68,1,0,43
25,1,0,49
257,1,1,46
339,1,1,34
336,1,0,30
300,1,0,45
280,1,1,33
311,1,0,31
214,1,0,19
327,1,1,33
150,1,1,36
127,0,1,24
255,1,1,35
334,1,0,29
181,0,0,35
259,1,0,39
174,1,1,29
284,1,1,27
160,1,0,43
291,1,0,40
104,1,1,45
105,1,1,37
346,1,1,35
105,1,0,35
286,1,0,40
314,1,0,24
307,1,0,37
174,1,1,46
81,1,1,55
54,1,0,43
231,1,0,43
271,1,0,45
77,0,0,33
290,1,0,66
269,1,0,34
277,1,0,40
294,1,1,33
210,1,1,41
258,1,0,25
293,1,1,39
179,1,1,31
137,1,1,32
298,1,1,35
111,1,0,28
257,1,0,25
160,1,1,34
291,1,1,55
236,1,1,30
235,1,1,37
69,1,1,33
271,1,1,40
223,1,0,36
322,1,1,36
86,1,0,38
222,1,0,48
27,1,0,38
216,1,1,38
10,1,0,41
335,1,1,50
251,1,1,39
144,1,0,33
319,1,1,42
287,1,1,30
279,1,1,42
315,1,1,32
334,1,1,39
298,1,1,42
19,1,1,38
327,1,1,40
256,1,0,54
287,1,0,49
132,1,0,29
20,0,1,43
300,1,1,45
91,0,0,41
220,1,1,59
189,1,1,42
322,1,0,26
343,1,1,31
278,1,0,54
230,1,1,42
285,1,0,20
152,1,1,43
252,1,1,49
251,1,1,34
144,1,1,50
313,1,0,34
25,0,0,43
223,1,1,47
250,1,1,47
283,1,0,34
250,1,0,42
285,1,1,40
145,1,1,35
251,1,0,42
342,1,0,44
133,1,0,29
166,1,0,34
266,1,1,46
94,1,1,34
293,1,1,30
322,1,1,43
271,1,1,39
319,1,0,32
244,1,1,40
362,1,1,61
308,1,0,33
171,0,0,53
320,1,1,46
287,1,0,41
364,1,1,33
308,1,0,41
70,1,1,42
271,1,1,42
257,1,0,36
243,1,0,48
322,1,0,48
311,1,0,43
133,1,0,24
229,1,0,50
276,1,0,44
91,1,1,39
300,1,0,32
244,1,0,45
4,1,0,34
224,1,0,50
205,1,0,33
255,1,1,41
109,1,0,37
319,1,1,28
308,1,1,32
46,1,0,43
110,1,0,39
181,1,0,49
187,1,1,40
300,1,1,57
300,1,0,42
66,1,1,32
161,1,1,28
326,1,0,26
285,1,0,38
305,1,1,53
138,1,0,35
152,1,0,56
214,1,1,31
189,1,1,33
329,1,1,36
201,1,0,40
263,1,1,36
263,1,1,36
265,1,0,46
305,1,0,34
88,1,0,35
293,1,1,37
300,1,1,44
284,1,0,24
304,1,1,31
291,1,1,37
18,0,0,59
327,1,1,38
236,1,0,40
278,1,0,36
88,1,0,31
227,1,0,49
284,1,0,37
210,1,0,32
182,1,0,57
264,1,1,40
313,1,0,37
39,0,1,27
227,1,0,47
292,1,1,37
280,1,1,48
60,1,0,45
126,0,0,33
251,1,1,18
290,1,1,37
17,1,0,30
293,1,1,39
236,1,0,56
341,1,1,44
227,1,1,25
242,1,0,51
265,1,0,45
90,0,0,51
189,1,1,23
322,1,1,43
278,1,1,38
293,1,0,39
280,1,0,40
354,1,0,51
250,1,0,33
248,1,1,16
349,1,1,51
329,1,0,56
305,1,0,30
307,1,0,34
290,1,0,45
119,1,0,45
329,1,0,43
277,1,0,41
264,1,1,55
329,1,0,31
237,1,0,52
305,1,0,45
263,1,0,49
196,1,0,57
189,1,0,47
181,1,0,43
104,1,1,47
228,1,0,38
263,1,1,37
276,1,1,32
272,1,1,30
179,1,0,27
244,0,1,47
342,1,1,34
265,1,0,42
322,1,1,51
46,0,0,29
259,1,1,36
271,1,1,35
95,1,0,47
300,1,0,67
115,0,0,34
15,0,0,50
299,1,0,48
203,1,0,48
308,1,0,30
301,1,1,31
265,1,1,30
348,1,0,29
216,1,0,35
47,1,1,40
256,1,1,33
208,1,0,40
250,1,0,44
308,1,1,45
152,1,1,38
321,1,0,47
257,1,1,21
143,1,1,58
146,1,1,52
110,1,0,16
318,1,0,40
312,1,0,33
117,0,1,55
308,1,1,45
313,1,0,35
55,1,1,48
126,1,1,36
320,1,1,33
151,1,0,34
136,1,1,32
228,1,0,39
272,1,0,26
192,1,1,36
64,0,0,38
149,0,0,41
52,0,0,32
305,1,1,31
215,1,1,32
306,1,0,30
103,0,1,25
349,1,0,42
346,1,1,35
319,1,0,53
234,1,1,37
214,1,0,35
306,1,1,45
329,1,1,46
123,0,0,39
347,1,0,43
224,1,1,36
272,1,1,39
286,1,1,38
256,1,1,26
188,1,1,31
233,0,0,37
242,1,0,34
213,1,1,31
311,1,0,37
319,1,0,32
117,0,0,31
273,1,0,44
285,1,1,42
91,0,0,36
319,1,1,43
336,1,0,55
318,1,0,44
70,1,0,35
276,1,1,49
314,1,0,35
180,1,1,49
216,1,0,52
306,1,1,32
242,1,0,36
13,0,1,46
297,1,1,42
291,1,1,35
292,1,0,34
216,1,1,24
258,1,1,37
263,1,1,43
326,1,0,44
257,1,1,29
84,1,1,31
237,1,0,56
91,0,1,33
279,1,0,26
244,1,1,32
292,1,1,41
273,1,0,48
228,1,0,30
259,1,1,33
70,1,0,28
216,1,0,35
313,1,1,31
257,1,0,43
223,1,1,33
327,1,0,31
328,1,0,36
265,1,0,59
235,1,1,34
221,1,1,59
255,0,0,36
266,1,1,47
313,1,1,30
271,1,1,31
293,1,0,33
277,1,0,42
228,1,0,32
313,1,1,43
81,0,1,63
39,1,1,41
333,1,1,46
